DATE,CSUSHPISA
1987-01-01,63.96500000000000
1987-02-01,64.42400000000000
1987-03-01,64.73600000000000
1987-04-01,65.13200000000000
1987-05-01,65.56300000000000
1987-06-01,66.07100000000000
1987-07-01,66.50700000000000
1987-08-01,66.93800000000000
1987-09-01,67.33000000000000
1987-10-01,67.73900000000000
1987-11-01,68.10700000000000
1987-12-01,68.50600000000000
1988-01-01,68.85800000000000
1988-02-01,69.26300000000000
1988-03-01,69.64000000000000
1988-04-01,69.97700000000000
1988-05-01,70.42600000000000
1988-06-01,70.88900000000000
1988-07-01,71.35400000000000
1988-08-01,71.79900000000000
1988-09-01,72.24000000000000
1988-10-01,72.63500000000000
1988-11-01,73.07100000000000
1988-12-01,73.46600000000000
1989-01-01,73.94600000000000
1989-02-01,74.38200000000000
1989-03-01,74.77800000000000
1989-04-01,75.08600000000000
1989-05-01,75.30600000000000
1989-06-01,75.47900000000000
1989-07-01,75.65700000000000
1989-08-01,75.83500000000000
1989-09-01,76.05600000000000
1989-10-01,76.28300000000000
1989-11-01,76.52000000000000
1989-12-01,76.70500000000000
1990-01-01,76.89700000000000
1990-02-01,77.05300000000000
1990-03-01,77.20100000000000
1990-04-01,77.27900000000000
1990-05-01,77.29700000000000
1990-06-01,77.25900000000000
1990-07-01,77.13900000000000
1990-08-01,77.00900000000000
1990-09-01,76.85000000000000
1990-10-01,76.69900000000000
1990-11-01,76.36900000000000
1990-12-01,76.18500000000000
1991-01-01,75.91500000000000
1991-02-01,75.73400000000000
1991-03-01,75.56900000000000
1991-04-01,75.56500000000000
1991-05-01,75.76400000000000
1991-06-01,75.99300000000000
1991-07-01,76.08200000000000
1991-08-01,76.10900000000000
1991-09-01,76.19300000000000
1991-10-01,76.07400000000000
1991-11-01,76.01200000000000
1991-12-01,76.05600000000000
1992-01-01,76.08700000000000
1992-02-01,76.15600000000000
1992-03-01,76.27800000000000
1992-04-01,76.34700000000000
1992-05-01,76.39900000000000
1992-06-01,76.33200000000000
1992-07-01,76.26400000000000
1992-08-01,76.23100000000000
1992-09-01,76.23900000000000
1992-10-01,76.37700000000000
1992-11-01,76.55800000000000
1992-12-01,76.67400000000000
1993-01-01,76.78400000000000
1993-02-01,76.83700000000000
1993-03-01,76.86700000000000
1993-04-01,76.93600000000000
1993-05-01,77.03700000000000
1993-06-01,77.24300000000000
1993-07-01,77.42900000000000
1993-08-01,77.61300000000000
1993-09-01,77.79500000000000
1993-10-01,77.94200000000000
1993-11-01,78.14800000000000
1993-12-01,78.32600000000000
1994-01-01,78.59100000000000
1994-02-01,78.72700000000000
1994-03-01,78.85600000000000
1994-04-01,78.98800000000000
1994-05-01,79.22200000000000
1994-06-01,79.42300000000000
1994-07-01,79.59500000000000
1994-08-01,79.78200000000000
1994-09-01,79.91900000000000
1994-10-01,80.06500000000000
1994-11-01,80.15000000000000
1994-12-01,80.29600000000000
1995-01-01,80.42700000000000
1995-02-01,80.52800000000000
